"","Financial.Year","Demographic.Derived.Household.Type.LCFS","Expenditure.Housing_mean_ratio","Expenditure.Housing_median_ratio","Expenditure.Utilities.MART_mean_ratio","Expenditure.Utilities.MART_median_ratio","Expenditure.Food.House.Keeping.MART_mean_ratio","Expenditure.Food.House.Keeping.MART_median_ratio","Demographic.Housing","Demographic.Role.Type","Demographic.Disabled","Demographic.UC","Demographic.ethnicity.HRP"
"28","2023-24","Single Person With Dependent Children",0.384756511949544,0.339295647404732,0.105128107472892,0.0911749944524045,0.228426967947649,0.197837254355123,NA,NA,NA,NA,NA
"29","2020-21",NA,0.409126607580173,0.363663612656988,0.0335626980034629,0.02881878200716,0.127362174366806,0.110302708398913,"Mortgage",NA,NA,NA,NA
"30","2020-21",NA,0.208197906864162,0.112802795966738,0.0471126353789468,0.0369383737555027,0.157085458053011,0.130370730901774,"Other",NA,NA,NA,NA
"31","2020-21",NA,0.0790011369960423,0.0541526297172783,0.0437179830734099,0.035852975909041,0.139185985380383,0.118212518503334,"Owned Outright",NA,NA,NA,NA
"32","2020-21",NA,0.329091874352131,0.274895261488372,0.0550451877163292,0.0476536406322473,0.189221542214417,0.168556560277512,"Private Rental",NA,NA,NA,NA
"33","2020-21",NA,0.260541652688167,0.184907725210059,0.0762160514481567,0.0621743715666368,0.255400703723448,0.209831648467414,"Social Housing",NA,NA,NA,NA
"34","2021-22",NA,0.397578828264375,0.35523022629931,0.0436608481112727,0.0371139912942948,0.120914609375366,0.105933443621998,"Mortgage",NA,NA,NA,NA
"35","2021-22",NA,0.22604159981162,0.15474811470178,0.0517653982965703,0.040159928562994,0.14416900501276,0.136638841214529,"Other",NA,NA,NA,NA
"36","2021-22",NA,0.0848474866629215,0.0558619876084529,0.0718429217754494,0.0447330056280201,0.17444169824379,0.114220186560668,"Owned Outright",NA,NA,NA,NA
"37","2021-22",NA,0.363187866470383,0.288825225904354,0.0742067202354582,0.0596949128313658,0.19611900928349,0.165582446604835,"Private Rental",NA,NA,NA,NA
"38","2021-22",NA,0.255356809595926,0.198745829361296,0.0901072249653872,0.0753231528970219,0.239588983234022,0.209287271958417,"Social Housing",NA,NA,NA,NA
"39","2022-23",NA,0.416556244794104,0.370430573975274,0.0494613623688054,0.0432763344367972,0.119441415975308,0.104162096900776,"Mortgage",NA,NA,NA,NA
"40","2022-23",NA,0.229271173555224,0.160385092108654,0.0583615009079013,0.0487064860656993,0.140394811126041,0.121322230267053,"Other",NA,NA,NA,NA
"41","2022-23",NA,0.0871940960859763,0.0572441221839773,0.0772472605235126,0.0505978695196208,0.179209284897082,0.116060201107719,"Owned Outright",NA,NA,NA,NA
"42","2022-23",NA,0.409299173465999,0.293838643515875,0.0874263908318697,0.068263217860524,0.20367920908747,0.166404257369917,"Private Rental",NA,NA,NA,NA
"43","2022-23",NA,0.262692220036698,0.205438971192913,0.102222764981665,0.0866908677516595,0.240081799898414,0.209844397077534,"Social Housing",NA,NA,NA,NA
"44","2023-24",NA,0.463294627806226,0.414156724154602,0.0498045846934317,0.0440769995917807,0.115293952075554,0.102477713082046,"Mortgage",NA,NA,NA,NA
"45","2023-24",NA,0.243917868622217,0.151497564540178,0.0631864110664424,0.0553451882579917,0.138404993580982,0.130410602570651,"Other",NA,NA,NA,NA
